Day,new_cases_smoothed_per_million
1,157.711
2,165.501
3,174.549
4,181.821
5,188.269
6,193.368
7,197.631
8,210.663
9,222.263
10,232.709
11,246.27
12,257.84
13,261.223
14,267.391
15,280.812
16,292.567
17,308.8
18,319.224
19,332.332
20,337.559
21,345.182
22,351.15
23,373.291
24,384.789
25,408.252
26,422.248
27,440.111
28,456.896
29,486.286
30,509.579
31,536.501
32,556.885
33,574.188
34,588.112
35,596.979
36,618.707
37,644.696
38,679.275
39,699.319
40,727.348
41,736.396
42,751.976
43,759.871
44,764.04
45,746.639
46,732.707
47,708.866
48,682.212
49,634.529
50,566.56
51,538.731
52,531.013
53,518.991
54,514.361
55,522.279
56,541.014
57,565.045
58,539.48
59,499.216
60,464.799
61,428.583
62,410.766
63,395.802
64,368.045
65,336.436
66,310.055
67,286.334
68,267.712
69,253.217
70,239.864
71,220.857
72,204.464
73,189.055
74,177.584
75,167.727
76,164.159
77,151.252
78,132.376
79,124.821
80,122.016
81,115.576
82,112.704
83,110.844
84,113.871
85,114.854
86,103.5
87,92.936
88,85.853
89,79.473
90,75.996
91,70.845
92,63.958
93,58.92
94,52.979
95,47.755
96,43.628
97,41.541
98,38.79
99,34.731
100,31.374
101,28.589
102,25.796
103,23.917
104,23.063
105,21.472
106,19.189
107,16.781
108,14.423
